symbol,rank,final_score,profitability_score,growth_score,scale_score,stability_score,financial_health_score,cash_quality_score,asset_efficiency_score,avg_revenue,avg_net_profit,avg_gross_margin,avg_net_margin,avg_revenue_growth,avg_profit_growth,avg_roa,avg_roe,avg_current_ratio,avg_de_ratio,avg_ocf_quality,avg_fcf,avg_asset_turnover
SVC,82,36.71,56.0,17.45,8.62,99.83,11.72,33.57,56.71,6018549365367.36,52075080190.91,6.98,0.7,0.13,6.17,0.01,0.02,1.27,2.24,1.0,52075080190.91,0.74
CCP,83,36.7,57.66,17.46,3.32,97.59,19.17,33.32,46.62,2659088993.29,3459977112.29,61.91,124.52,-0.45,6.93,0.07,0.08,14.94,0.27,1.0,3459977112.29,0.05
HAT,84,36.7,56.51,17.35,3.61,99.59,11.68,33.32,70.24,339923141891.27,4835624941.09,7.38,1.26,0.15,1.02,0.02,0.07,1.18,2.2,1.0,4835624941.09,1.5
VFS,85,36.69,56.37,17.35,3.51,99.82,20.3,33.45,44.66,75105492347.36,28809649525.82,73.94,49.18,1.04,0.58,0.01,0.02,17.3,1.02,1.0,28809649525.82,0.03
MTS,86,36.69,55.97,17.39,4.2,99.94,11.6,33.32,70.54,1042198571920.36,4160806187.91,4.32,0.4,-0.09,2.84,0.01,0.02,1.22,2.9,1.0,4160806187.91,1.54
NCT,87,36.67,58.36,17.33,3.83,99.74,13.86,33.65,52.42,223789467777.18,67856739119.73,46.17,30.21,0.18,0.16,0.1,0.12,4.81,0.23,1.0,67856739119.73,0.33
SSI,88,36.66,56.36,17.34,9.1,99.95,11.92,37.2,44.66,2274177205153.0,765130328429.91,64.51,33.62,0.27,0.43,0.01,0.03,1.51,1.78,1.0,765130328429.91,0.03
DVG,89,36.66,55.74,17.34,3.33,99.92,20.9,33.3,45.93,39666599719.27,146269627.18,4.66,1.19,0.59,0.5,0.0,0.0,18.17,0.05,1.0,146269627.18,0.12
TVN,90,36.66,55.76,17.35,11.06,99.84,11.68,33.47,50.11,9050322495875.46,32365520640.82,3.47,0.12,0.06,0.79,0.0,0.0,1.02,1.59,1.0,32365520640.82,0.36
DRL,91,36.65,58.24,17.33,3.38,99.63,15.57,33.36,49.67,24258900948.64,12430242824.27,67.16,51.32,-0.03,-0.08,0.09,0.1,8.03,0.11,1.0,12430242824.27,0.18
TET,92,36.64,56.33,17.33,3.32,99.68,20.26,33.31,45.17,5873903541.55,2165552025.0,41.0,38.36,0.01,0.06,0.02,0.02,16.95,0.05,1.0,2165552025.0,0.05
DCM,93,36.63,56.4,17.33,8.21,99.76,12.82,35.18,48.35,3619343991192.18,368361316288.36,18.73,9.79,0.05,0.04,0.02,0.04,2.9,0.55,1.0,368361316288.36,0.23
PTX,94,36.62,56.33,17.36,3.62,99.74,11.49,33.32,69.86,351239282259.17,4342781276.67,9.5,1.24,0.12,1.32,0.02,0.05,0.65,1.59,1.0,4342781276.67,1.48
SCS,95,36.61,58.28,17.33,4.31,99.65,14.09,34.11,48.76,237395938343.73,159462789146.18,77.82,67.86,0.16,0.08,0.09,0.11,5.23,0.21,1.0,159462789146.18,0.13
PVS,96,36.59,56.01,17.39,9.71,99.94,12.14,34.67,47.45,6011821683147.73,268188041048.55,4.87,4.62,0.31,3.14,0.01,0.02,1.77,1.13,1.0,268188041048.55,0.2
NTL,97,36.59,56.86,20.51,3.95,98.05,14.42,33.77,46.65,215347324396.36,91582595055.82,30.34,52.7,2.46,165.38,0.04,0.05,5.87,0.26,1.0,91582595055.82,0.1
PJC,98,36.58,56.57,17.34,3.59,99.7,12.01,33.34,66.54,301208069301.36,7291264082.91,10.18,2.4,0.02,0.24,0.03,0.05,1.39,0.63,1.0,7291264082.91,1.27
GMH,99,36.58,56.16,17.37,3.34,99.81,19.51,33.32,46.53,25858980953.27,2982291468.64,20.86,10.85,-0.08,1.88,0.02,0.02,15.53,0.07,1.0,2982291468.64,0.13
BKG,100,36.56,55.84,17.33,3.36,99.97,20.29,33.32,45.05,58565216885.64,2932589501.64,11.17,5.03,-0.03,-0.0,0.0,0.0,17.02,0.05,1.0,2932589501.64,0.07
